0	59	59	0
1	61	60	1
2	70	70	0
3	96	96	0
4	133	133	0
5	172	171	1
6	207	206	1
7	229	229	0
8	227	227	0
9	205	205	0
10	170	170	0
11	133	133	0
12	105	105	0
13	87	86	1
14	76	75	1
15	68	68	0
16	61	60	1
17	54	53	1
18	54	53	1
19	57	57	0
20	57	57	0
21	52	51	1
22	44	44	0
23	39	38	1
24	37	36	1
25	41	40	1
26	44	44	0
27	50	49	1
28	50	49	1
29	48	48	0
30	46	46	0
31	48	48	0
32	50	49	1
33	52	51	1
34	54	53	1
35	57	57	0
36	57	57	0
37	54	53	1
38	48	48	0
39	46	46	0
40	48	48	0
41	52	51	1
42	50	49	1
43	46	46	0
44	44	44	0
45	48	48	0
46	54	53	1
47	57	57	0
48	65	64	1
49	76	75	1
50	91	90	1
51	111	110	1
52	135	134	1
53	155	155	0
54	166	166	0
55	164	164	0
56	153	153	0
57	137	136	1
58	111	110	1
59	87	86	1
60	67	66	1
61	59	59	0
62	57	57	0
63	59	59	0
64	59	59	0
65	55	55	0
66	50	49	1
67	43	42	1
68	41	40	1
69	41	40	1
70	41	40	1
71	39	38	1
72	35	35	0
73	35	35	0
74	37	36	1
75	39	38	1
76	41	40	1
77	41	40	1
78	43	42	1
79	43	42	1
80	46	46	0
81	48	48	0
82	48	48	0
83	44	44	0
84	41	40	1
85	39	38	1
86	41	40	1
87	39	38	1
88	41	40	1
89	41	40	1
90	43	42	1
91	43	42	1
92	44	44	0
93	52	51	1
94	54	53	1
95	52	51	1
96	55	55	0
97	68	68	0
98	92	92	0
99	116	116	0
100	139	138	1
101	150	149	1
102	153	153	0
103	146	145	1
104	131	131	0
105	109	109	0
106	87	86	1
107	68	68	0
108	52	51	1
109	41	40	1
110	31	31	0
111	28	27	1
112	26	25	1
113	26	25	1
114	24	24	0
115	20	20	0
116	20	20	0
117	18	18	0
118	18	18	0
119	17	16	1
120	15	14	1
121	13	12	1
122	13	12	1
123	13	12	1
124	15	14	1
125	15	14	1
126	15	14	1
127	17	16	1
128	18	18	0
129	18	18	0
130	20	20	0
131	22	22	0
132	22	22	0
133	20	20	0
134	18	18	0
135	20	20	0
136	26	25	1
137	30	29	1
138	33	33	0
139	33	33	0
140	31	31	0
141	30	29	1
142	33	33	0
143	46	46	0
144	72	72	0
145	107	107	0
146	140	140	0
147	161	160	1
148	157	157	0
149	133	133	0
150	96	96	0
151	57	57	0
152	37	36	1
153	30	29	1
154	30	29	1
155	31	31	0
156	35	35	0
157	37	36	1
158	35	35	0
159	33	33	0
160	31	31	0
161	28	27	1
162	24	24	0
163	22	22	0
164	22	22	0
165	22	22	0
166	22	22	0
167	24	24	0
168	24	24	0
169	24	24	0
170	24	24	0
171	26	25	1
